Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	1.025590369	1.029517545	0.000	22050.000	D_auratus.wav	1.0256
1	Spectrogram 1	1	1.025590369	1.029517545	0.000	22050.000	D_auratus.wav	1.0256
2	Waveform 1	1	1.085212033	1.088782193	2404.328	3533.634	D_auratus.wav	1.0852
2	Spectrogram 1	1	1.085212033	1.088782193	2404.328	3533.634	D_auratus.wav	1.0852
3	Waveform 1	1	1.165202118	1.167879737	1493.598	3679.351	D_auratus.wav	1.1652
3	Spectrogram 1	1	1.165202118	1.167879737	1493.598	3679.351	D_auratus.wav	1.1652
4	Waveform 1	1	1.185016503	1.188229647	1347.881	3825.068	D_auratus.wav	1.1850
4	Spectrogram 1	1	1.185016503	1.188229647	1347.881	3825.068	D_auratus.wav	1.1850
5	Waveform 1	1	1.244459659	1.247137279	1238.593	3533.634	D_auratus.wav	1.2445
5	Spectrogram 1	1	1.244459659	1.247137279	1238.593	3533.634	D_auratus.wav	1.2445
6	Waveform 1	1	1.524807226	1.527306337	1238.593	3970.785	D_auratus.wav	1.5248
6	Spectrogram 1	1	1.524807226	1.527306337	1238.593	3970.785	D_auratus.wav	1.5248
7	Waveform 1	1	1.564614504	1.567292124	2040.036	3679.351	D_auratus.wav	1.5646
7	Spectrogram 1	1	1.564614504	1.567292124	2040.036	3679.351	D_auratus.wav	1.5646
8	Waveform 1	1	6.612529886	6.616457062	1129.306	3897.926	D_auratus.wav	6.6125
8	Spectrogram 1	1	6.612529886	6.616457062	1129.306	3897.926	D_auratus.wav	6.6125
9	Waveform 1	1	6.666974819	6.672330058	1129.306	4152.931	D_auratus.wav	6.6670
9	Spectrogram 1	1	6.666974819	6.672330058	1129.306	4152.931	D_auratus.wav	6.6670
10	Waveform 1	1	6.763938700	6.769472447	1129.306	4116.501	D_auratus.wav	6.7639
10	Spectrogram 1	1	6.763938700	6.769472447	1129.306	4116.501	D_auratus.wav	6.7639
