Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	0.857428779	1.041311096	770.3	5969.9	S_elaeochroaCRUCITAS.wav	0.8574
1	Spectrogram 1	1	0.857428779	1.041311096	770.3	5969.9	S_elaeochroaCRUCITAS.wav	0.8574
2	Waveform 1	1	1.488061433	1.663679376	1299.9	5681.0	S_elaeochroaCRUCITAS.wav	1.4881
2	Spectrogram 1	1	1.488061433	1.663679376	1299.9	5681.0	S_elaeochroaCRUCITAS.wav	1.4881
3	Waveform 1	1	2.436283476	2.706941717	1203.6	6018.0	S_elaeochroaCRUCITAS.wav	2.4363
3	Spectrogram 1	1	2.436283476	2.706941717	1203.6	6018.0	S_elaeochroaCRUCITAS.wav	2.4363
4	Waveform 1	1	3.400909805	3.634378365	818.4	5536.6	S_elaeochroaCRUCITAS.wav	3.4009
4	Spectrogram 1	1	3.400909805	3.634378365	818.4	5536.6	S_elaeochroaCRUCITAS.wav	3.4009
5	Waveform 1	1	4.210004823	4.445539476	1299.9	5199.6	S_elaeochroaCRUCITAS.wav	4.2100
5	Spectrogram 1	1	4.210004823	4.445539476	1299.9	5199.6	S_elaeochroaCRUCITAS.wav	4.2100
6	Waveform 1	1	4.960635913	5.216831500	914.7	6355.0	S_elaeochroaCRUCITAS.wav	4.9606
6	Spectrogram 1	1	4.960635913	5.216831500	914.7	6355.0	S_elaeochroaCRUCITAS.wav	4.9606
7	Waveform 1	1	5.811866412	6.026740130	866.6	5392.1	S_elaeochroaCRUCITAS.wav	5.8119
7	Spectrogram 1	1	5.811866412	6.026740130	866.6	5392.1	S_elaeochroaCRUCITAS.wav	5.8119
8	Waveform 1	1	6.846699053	7.073969332	1251.7	6355.0	S_elaeochroaCRUCITAS.wav	6.8467
8	Spectrogram 1	1	6.846699053	7.073969332	1251.7	6355.0	S_elaeochroaCRUCITAS.wav	6.8467
