Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	0.892937581	1.046811943	1733.188	4044.105	D_ebracattus_GUAYACAN.wav	0.8929
1	Spectrogram 1	1	0.892937581	1.046811943	1733.188	4044.105	D_ebracattus_GUAYACAN.wav	0.8929
2	Waveform 1	1	1.135406272	1.182034866	1540.611	4332.969	D_ebracattus_GUAYACAN.wav	1.1354
2	Spectrogram 1	1	1.135406272	1.182034866	1540.611	4332.969	D_ebracattus_GUAYACAN.wav	1.1354
3	Waveform 1	1	3.969556394	4.137419333	1733.188	4332.969	D_ebracattus_GUAYACAN.wav	3.9696
3	Spectrogram 1	1	3.969556394	4.137419333	1733.188	4332.969	D_ebracattus_GUAYACAN.wav	3.9696
4	Waveform 1	1	4.226013662	4.270310827	1251.747	4718.122	D_ebracattus_GUAYACAN.wav	4.2260
4	Spectrogram 1	1	4.226013662	4.270310827	1251.747	4718.122	D_ebracattus_GUAYACAN.wav	4.2260
