Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	2.191721648	2.243681122	385.2	6162.4	P_ridens.wav	2.1917
1	Spectrogram 1	1	2.191721648	2.243681122	385.2	6162.4	P_ridens.wav	2.1917
2	Waveform 1	1	2.279013564	2.325777090	0.0	6258.7	P_ridens.wav	2.2790
2	Spectrogram 1	1	2.279013564	2.325777090	0.0	6258.7	P_ridens.wav	2.2790
3	Waveform 1	1	2.368383859	2.408912248	0.0	6258.7	P_ridens.wav	2.3684
3	Spectrogram 1	1	2.368383859	2.408912248	0.0	6258.7	P_ridens.wav	2.3684
4	Waveform 1	1	2.449440638	2.496204164	0.0	6643.9	P_ridens.wav	2.4494
4	Spectrogram 1	1	2.449440638	2.496204164	0.0	6643.9	P_ridens.wav	2.4494
5	Waveform 1	1	2.537771743	2.575182565	0.0	6547.6	P_ridens.wav	2.5378
5	Spectrogram 1	1	2.537771743	2.575182565	0.0	6547.6	P_ridens.wav	2.5378
6	Waveform 1	1	2.617789333	2.667670428	0.0	6740.2	P_ridens.wav	2.6178
6	Spectrogram 1	1	2.617789333	2.667670428	0.0	6740.2	P_ridens.wav	2.6178
7	Waveform 1	1	2.704042060	2.751844776	0.0	6451.3	P_ridens.wav	2.7040
7	Spectrogram 1	1	2.704042060	2.751844776	0.0	6451.3	P_ridens.wav	2.7040
8	Waveform 1	1	2.785098839	2.841215071	0.0	6643.9	P_ridens.wav	2.7851
8	Spectrogram 1	1	2.785098839	2.841215071	0.0	6643.9	P_ridens.wav	2.7851
9	Waveform 1	1	2.945134018	2.947212397	10206.6	10784.3	P_ridens.wav	2.9451
9	Spectrogram 1	1	2.945134018	2.947212397	10206.6	10784.3	P_ridens.wav	2.9451
10	Waveform 1	1	2.982025245	3.024112418	0.0	7606.8	P_ridens.wav	2.9820
10	Spectrogram 1	1	2.982025245	3.024112418	0.0	7606.8	P_ridens.wav	2.9820
11	Waveform 1	1	2.885900218	2.931624555	0.0	6740.2	P_ridens.wav	2.8859
11	Spectrogram 1	1	2.885900218	2.931624555	0.0	6740.2	P_ridens.wav	2.8859
12	Waveform 1	1	3.077111082	3.120757040	0.0	8473.4	P_ridens.wav	3.0771
12	Spectrogram 1	1	3.077111082	3.120757040	0.0	8473.4	P_ridens.wav	3.0771
13	Waveform 1	1	3.174794892	3.214284093	0.0	8665.9	P_ridens.wav	3.1748
13	Spectrogram 1	1	3.174794892	3.214284093	0.0	8665.9	P_ridens.wav	3.1748
14	Waveform 1	1	3.274557082	3.318203040	0.0	8954.8	P_ridens.wav	3.2746
14	Spectrogram 1	1	3.274557082	3.318203040	0.0	8954.8	P_ridens.wav	3.2746
15	Waveform 1	1	3.375358461	3.415886851	0.0	9147.4	P_ridens.wav	3.3754
15	Spectrogram 1	1	3.375358461	3.415886851	0.0	9147.4	P_ridens.wav	3.3754
