Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	1.354349825	1.436186206	3703.771	4353.716	O_pumilioLOSCHILES.wav	1.3543
1	Spectrogram 1	1	1.354349825	1.436186206	3703.771	4353.716	O_pumilioLOSCHILES.wav	1.3543
2	Waveform 1	1	1.687873168	1.771873739	3727.843	4413.896	O_pumilioLOSCHILES.wav	1.6879
2	Spectrogram 1	1	1.687873168	1.771873739	3727.843	4413.896	O_pumilioLOSCHILES.wav	1.6879
3	Waveform 1	1	2.022599557	2.097266731	3667.663	4413.896	O_pumilioLOSCHILES.wav	2.0226
3	Spectrogram 1	1	2.022599557	2.097266731	3667.663	4413.896	O_pumilioLOSCHILES.wav	2.0226
4	Waveform 1	1	2.524731712	2.591932168	3727.843	4329.644	O_pumilioLOSCHILES.wav	2.5247
4	Spectrogram 1	1	2.524731712	2.591932168	3727.843	4329.644	O_pumilioLOSCHILES.wav	2.5247
5	Waveform 1	1	3.002875665	3.071942800	3763.951	4245.392	O_pumilioLOSCHILES.wav	3.0029
5	Spectrogram 1	1	3.002875665	3.071942800	3763.951	4245.392	O_pumilioLOSCHILES.wav	3.0029
6	Waveform 1	1	4.336232335	4.401566112	3655.627	4281.500	O_pumilioLOSCHILES.wav	4.3362
6	Spectrogram 1	1	4.336232335	4.401566112	3655.627	4281.500	O_pumilioLOSCHILES.wav	4.3362
7	Waveform 1	1	5.150597173	5.217797629	3667.663	4269.464	O_pumilioLOSCHILES.wav	5.1506
7	Spectrogram 1	1	5.150597173	5.217797629	3667.663	4269.464	O_pumilioLOSCHILES.wav	5.1506
8	Waveform 1	1	5.646550011	5.713750468	3715.807	4317.608	O_pumilioLOSCHILES.wav	5.6466
8	Spectrogram 1	1	5.646550011	5.713750468	3715.807	4317.608	O_pumilioLOSCHILES.wav	5.6466
9	Waveform 1	1	6.812991538	6.887658712	3732.103	4341.893	O_pumilioLOSCHILES.wav	6.8130
9	Spectrogram 1	1	6.812991538	6.887658712	3732.103	4341.893	O_pumilioLOSCHILES.wav	6.8130
10	Waveform 1	1	7.145466454	7.218266949	3719.908	4232.131	O_pumilioLOSCHILES.wav	7.1455
10	Spectrogram 1	1	7.145466454	7.218266949	3719.908	4232.131	O_pumilioLOSCHILES.wav	7.1455
11	Waveform 1	1	7.979872121	8.050805936	3695.516	4293.110	O_pumilioLOSCHILES.wav	7.9799
11	Spectrogram 1	1	7.979872121	8.050805936	3695.516	4293.110	O_pumilioLOSCHILES.wav	7.9799
