Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	0.289001341	0.346385913	2314.926	3063.872	P_vitattus.wav	0.2890
1	Spectrogram 1	1	0.289001341	0.346385913	2314.926	3063.872	P_vitattus.wav	0.2890
2	Waveform 1	1	0.436288408	0.489847342	2144.710	3029.829	P_vitattus.wav	0.4363
2	Spectrogram 1	1	0.436288408	0.489847342	2144.710	3029.829	P_vitattus.wav	0.4363
3	Waveform 1	1	0.954535590	1.009050933	2519.184	3131.958	P_vitattus.wav	0.9545
3	Spectrogram 1	1	0.954535590	1.009050933	2519.184	3131.958	P_vitattus.wav	0.9545
4	Waveform 1	1	1.254929776	1.311357938	2451.098	3097.915	P_vitattus.wav	1.2549
4	Spectrogram 1	1	1.254929776	1.311357938	2451.098	3097.915	P_vitattus.wav	1.2549
5	Waveform 1	1	1.710262257	1.763821191	2587.270	3166.001	P_vitattus.wav	1.7103
5	Spectrogram 1	1	1.710262257	1.763821191	2587.270	3166.001	P_vitattus.wav	1.7103
6	Waveform 1	1	2.395173118	2.451601281	2485.141	3234.087	P_vitattus.wav	2.3952
6	Spectrogram 1	1	2.395173118	2.451601281	2485.141	3234.087	P_vitattus.wav	2.3952
7	Waveform 1	1	4.839661613	4.898002595	2825.571	3302.173	P_vitattus.wav	4.8397
7	Spectrogram 1	1	4.839661613	4.898002595	2825.571	3302.173	P_vitattus.wav	4.8397
8	Waveform 1	1	5.211994697	5.257902354	2655.356	3472.388	P_vitattus.wav	5.2120
8	Spectrogram 1	1	5.211994697	5.257902354	2655.356	3472.388	P_vitattus.wav	5.2120
9	Waveform 1	1	5.510726088	5.562372203	2757.485	3472.388	P_vitattus.wav	5.5107
9	Spectrogram 1	1	5.510726088	5.562372203	2757.485	3472.388	P_vitattus.wav	5.5107
10	Waveform 1	1	6.264540955	6.321925527	2961.743	3472.388	P_vitattus.wav	6.2645
10	Spectrogram 1	1	6.264540955	6.321925527	2961.743	3472.388	P_vitattus.wav	6.2645
11	Waveform 1	1	7.462666199	7.510486676	2655.356	3438.345	P_vitattus.wav	7.4627
11	Spectrogram 1	1	7.462666199	7.510486676	2655.356	3438.345	P_vitattus.wav	7.4627
