Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	3.926350738	4.157847807	96.288	3081.223	data_raw_7448Smilisca_sordida.wav	3.9264
1	Spectrogram 1	1	3.926350738	4.157847807	96.288	3081.223	data_raw_7448Smilisca_sordida.wav	3.9264
2	Waveform 1	1	3.599138535	3.843991204	1251.747	3755.240	data_raw_7448Smilisca_sordida.wav	3.5991
2	Spectrogram 1	1	3.599138535	3.843991204	1251.747	3755.240	data_raw_7448Smilisca_sordida.wav	3.5991
3	Waveform 1	1	3.318670932	3.550168001	481.441	2984.934	data_raw_7448Smilisca_sordida.wav	3.3187
3	Spectrogram 1	1	3.318670932	3.550168001	481.441	2984.934	data_raw_7448Smilisca_sordida.wav	3.3187
4	Waveform 1	1	3.015943996	3.254118865	866.594	3947.817	data_raw_7448Smilisca_sordida.wav	3.0159
4	Spectrogram 1	1	3.015943996	3.254118865	866.594	3947.817	data_raw_7448Smilisca_sordida.wav	3.0159
5	Waveform 1	1	2.662020593	2.929132595	674.017	3658.952	data_raw_7448Smilisca_sordida.wav	2.6620
5	Spectrogram 1	1	2.662020593	2.929132595	674.017	3658.952	data_raw_7448Smilisca_sordida.wav	2.6620
6	Waveform 1	1	2.003353143	2.286046679	577.729	3755.240	data_raw_7448Smilisca_sordida.wav	2.0034
6	Spectrogram 1	1	2.003353143	2.286046679	577.729	3755.240	data_raw_7448Smilisca_sordida.wav	2.0034
7	Waveform 1	1	1.407625442	1.668059644	770.306	3562.664	data_raw_7448Smilisca_sordida.wav	1.4076
7	Spectrogram 1	1	1.407625442	1.668059644	770.306	3562.664	data_raw_7448Smilisca_sordida.wav	1.4076
