Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)
1	Waveform 1	1	2.682755960	2.695154503	842.522	5288.796	C_fitzingeri_SI_DOTA.wav	2.6828
1	Spectrogram 1	1	2.682755960	2.695154503	842.522	5288.796	C_fitzingeri_SI_DOTA.wav	2.6828
2	Waveform 1	1	2.831538478	2.842809881	1468.395	5199.563	C_fitzingeri_SI_DOTA.wav	2.8315
2	Spectrogram 1	1	2.831538478	2.842809881	1468.395	5199.563	C_fitzingeri_SI_DOTA.wav	2.8315
3	Waveform 1	1	2.987116498	3.001769321	1323.963	4886.627	C_fitzingeri_SI_DOTA.wav	2.9871
3	Spectrogram 1	1	2.987116498	3.001769321	1323.963	4886.627	C_fitzingeri_SI_DOTA.wav	2.9871
4	Waveform 1	1	3.598288652	3.614068616	1396.179	6595.742	C_fitzingeri_SI_DOTA.wav	3.5983
4	Spectrogram 1	1	3.598288652	3.614068616	1396.179	6595.742	C_fitzingeri_SI_DOTA.wav	3.5983
5	Waveform 1	1	4.055544621	4.075833147	914.738	6403.166	C_fitzingeri_SI_DOTA.wav	4.0555
5	Spectrogram 1	1	4.055544621	4.075833147	914.738	6403.166	C_fitzingeri_SI_DOTA.wav	4.0555
6	Waveform 1	1	17.507795141	17.523575105	1540.611	6884.607	C_fitzingeri_SI_DOTA.wav	17.5078
6	Spectrogram 1	1	17.507795141	17.523575105	1540.611	6884.607	C_fitzingeri_SI_DOTA.wav	17.5078
7	Waveform 1	1	17.665594782	17.680247606	1203.603	6595.742	C_fitzingeri_SI_DOTA.wav	17.6656
7	Spectrogram 1	1	17.665594782	17.680247606	1203.603	6595.742	C_fitzingeri_SI_DOTA.wav	17.6656
8	Waveform 1	1	17.812004010	17.828911115	1492.467	6547.598	C_fitzingeri_SI_DOTA.wav	17.8120
8	Spectrogram 1	1	17.812004010	17.828911115	1492.467	6547.598	C_fitzingeri_SI_DOTA.wav	17.8120
9	Waveform 1	1	17.966422230	17.982202194	1203.603	6595.742	C_fitzingeri_SI_DOTA.wav	17.9664
9	Spectrogram 1	1	17.966422230	17.982202194	1203.603	6595.742	C_fitzingeri_SI_DOTA.wav	17.9664
10	Waveform 1	1	18.121967590	18.137747554	1685.044	6547.598	C_fitzingeri_SI_DOTA.wav	18.1220
10	Spectrogram 1	1	18.121967590	18.137747554	1685.044	6547.598	C_fitzingeri_SI_DOTA.wav	18.1220
11	Waveform 1	1	3.295331892	3.309984716	1709.116	6186.517	C_fitzingeri_SI_DOTA.wav	3.2953
11	Spectrogram 1	1	3.295331892	3.309984716	1709.116	6186.517	C_fitzingeri_SI_DOTA.wav	3.2953
