Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	orig.sound.file
1	2	master_sound_flie_frogs_OTS_2021.wav	1	Spectrogram 1	1	1172.32545392787	2474.53101840415	start_marker
2.15	2.30512471655329	master_sound_flie_frogs_OTS_2021.wav	2	Spectrogram 1	1	1540.6	16946.7	Cochranella granulosa.wav_1007
2.45512471655329	2.4956462585034	master_sound_flie_frogs_OTS_2021.wav	3	Spectrogram 1	1	0	9147.4	P_ridens.wav_15
2.6456462585034	2.81326530612245	master_sound_flie_frogs_OTS_2021.wav	4	Spectrogram 1	1	0	17139.3	Cochranella granulosa.wav_3
2.96326530612245	4.73047619047619	master_sound_flie_frogs_OTS_2021.wav	5	Spectrogram 1	1	953.2	5038.4	D_auratus.wav_1
4.88047619047619	5.08367346938775	master_sound_flie_frogs_OTS_2021.wav	6	Spectrogram 1	1	0	1059.2	L_savagei.wav_1036
5.23367346938775	9.32514739229025	master_sound_flie_frogs_OTS_2021.wav	7	Spectrogram 1	1	1348	14154.4	P_lugubris.wav_1041
9.47514739229025	9.51566893424036	master_sound_flie_frogs_OTS_2021.wav	8	Spectrogram 1	1	0	9147.4	P_ridens.wav_1057
9.66566893424036	11.2530385487528	master_sound_flie_frogs_OTS_2021.wav	9	Spectrogram 1	1	577.7	18391	D_phlebodesRIOFRIO.wav_1
11.4030385487528	11.6303174603175	master_sound_flie_frogs_OTS_2021.wav	10	Spectrogram 1	1	1251.7	6355	S_elaeochroaCRUCITAS.wav_8
11.7803174603175	11.8208390022676	master_sound_flie_frogs_OTS_2021.wav	11	Spectrogram 1	1	0	6258.7	P_ridens.wav_3
11.9708390022676	12.1885714285714	master_sound_flie_frogs_OTS_2021.wav	12	Spectrogram 1	1	0	1107.3	L_savagei.wav_1034
12.3385714285714	12.5291609977324	master_sound_flie_frogs_OTS_2021.wav	13	Spectrogram 1	1	2636.4	19653.3	C_crassidigitus_SANRAMON.wav_4
12.6791609977324	13.2356462585034	master_sound_flie_frogs_OTS_2021.wav	14	Spectrogram 1	1	0	7693.7	7448Smilisca_sordida.wav_1077
13.3856462585034	13.6628344671202	master_sound_flie_frogs_OTS_2021.wav	15	Spectrogram 1	1	0	9147.4	7437Smilisca_puma.wav_1072
13.8128344671202	16.6140589569161	master_sound_flie_frogs_OTS_2021.wav	16	Spectrogram 1	1	885.1	19036.3	P_vitattus.wav_1
16.7640589569161	16.8061451247166	master_sound_flie_frogs_OTS_2021.wav	17	Spectrogram 1	1	0	7606.8	P_ridens.wav_1052
16.9561451247166	17.5616099773243	master_sound_flie_frogs_OTS_2021.wav	18	Spectrogram 1	1	0	3812.8	7448Smilisca_sordida.wav_3
17.7116099773243	17.7614965986395	master_sound_flie_frogs_OTS_2021.wav	19	Spectrogram 1	1	0	6740.2	P_ridens.wav_1048
17.9114965986395	18.0953741496599	master_sound_flie_frogs_OTS_2021.wav	20	Spectrogram 1	1	770.3	5969.9	S_elaeochroaCRUCITAS.wav_1060
18.2453741496599	18.4514739229025	master_sound_flie_frogs_OTS_2021.wav	21	Spectrogram 1	1	0	1107.3	L_savagei.wav_7
18.6014739229025	18.648231292517	master_sound_flie_frogs_OTS_2021.wav	22	Spectrogram 1	1	0	6643.9	P_ridens.wav_4
